symbol,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,ffmc,yearHigh,yearLow,totalTradedVolume,totalTradedValue,lastUpdateTime,nearWKH,nearWKL,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,chartTodayPath,series,meta,priority,timestamp
NIFTY TOTAL MARKET,NIFTY TOTAL MARKET,11142.7,11252.5,11116.8,11222.4,11164.45,57.94999999999891,0.52,1639213535.68,11521.1,7145.35,2999102954,883498651869.68,22-Mar-2024 16:00:00,2.592634383869602,-57.05878648351724,39.92,23-Mar-2023,https://nsearchives.nseindia.com/365d/NIFTY-TOTAL-MKT.svg,21-Feb-2024,-0.89,https://nsearchives.nseindia.com/30d/NIFTY-TOTAL-MKT.svg,https://nsearchives.nseindia.com/today/NIFTY-TOTAL-MKT.svg,,,1,22-Mar-2024 16:00:00
EMUDHRA,EMUDHRAEQN,693.65,833.5,679.0,822.9,694.6,128.3,18.47,21806641180.9,833.5,206.8,8720801,6690772943.22,22-Mar-2024 15:59:57,1.2717456508698288,-297.9206963249516,265.72,23-Mar-2023,https://nsearchives.nseindia.com/365d/EMUDHRA-EQ.svg,21-Feb-2024,43.45,https://nsearchives.nseindia.com/30d/EMUDHRA-EQ.svg,https://nsearchives.nseindia.com/today/EMUDHRAEQN.svg,,,0,22-Mar-2024 16:00:00
ALLCARGO,ALLCARGOEQN,64.6,73.5,64.6,71.4,64.15,7.25,11.3,21051192496.32,98.0,61.41,44644445,3173773595.05,22-Mar-2024 15:59:56,27.14285714285714,-16.267708842208126,-80.23,23-Mar-2023,https://nsearchives.nseindia.com/365d/ALLCARGO-EQ.svg,21-Feb-2024,-12.85,https://nsearchives.nseindia.com/30d/ALLCARGO-EQ.svg,https://nsearchives.nseindia.com/today/ALLCARGOEQN.svg,,,0,22-Mar-2024 16:00:00
STARCEMENT,STARCEMENTEQN,210.15,235.5,208.3,232.95,210.15,22.8,10.85,19215066970.23,235.5,106.6,3842093,869619329.62,22-Mar-2024 15:59:58,1.0828025477707055,-118.52720450281427,102.62,23-Mar-2023,https://nsearchives.nseindia.com/365d/STARCEMENT-EQ.svg,21-Feb-2024,12.85,https://nsearchives.nseindia.com/30d/STARCEMENT-EQ.svg,https://nsearchives.nseindia.com/today/STARCEMENTEQN.svg,,,0,22-Mar-2024 16:00:00
SARDAEN,SARDAENEQN,206.0,225.6,201.6,216.5,195.6,20.9,10.69,20598447137.85,265.0,96.68,6470067,1417009373.6699998,22-Mar-2024 15:58:40,18.30188679245283,-123.9346297062474,-78.88,23-Mar-2023,https://nsearchives.nseindia.com/365d/SARDAEN-EQ.svg,21-Feb-2024,-0.12,https://nsearchives.nseindia.com/30d/SARDAEN-EQ.svg,https://nsearchives.nseindia.com/today/SARDAENEQN.svg,,,0,22-Mar-2024 16:00:00
FCL,FCLEQN,354.9,388.0,354.4,382.0,346.3,35.7,10.31,14809279029.3,458.85,203.0,2244715,837637849.4000001,22-Mar-2024 15:58:56,16.74839272093277,-88.17733990147784,70.5,23-Mar-2023,https://nsearchives.nseindia.com/365d/FCL-EQ.svg,21-Feb-2024,-11.5,https://nsearchives.nseindia.com/30d/FCL-EQ.svg,https://nsearchives.nseindia.com/today/FCLEQN.svg,,,0,22-Mar-2024 16:00:00
INDUSTOWER,INDUSTOWEREQN,250.5,275.2,250.2,275.2,250.2,25.0,9.99,177995195673.6,275.2,135.8,33142623,8758269553.98,22-Mar-2024 15:59:56,0.0,-102.65095729013252,79.67,23-Mar-2023,https://nsearchives.nseindia.com/365d/INDUSTOWER-EQ.svg,21-Feb-2024,23.97,https://nsearchives.nseindia.com/30d/INDUSTOWER-EQ.svg,https://nsearchives.nseindia.com/today/INDUSTOWEREQN.svg,,,0,22-Mar-2024 16:00:00
SHANTIGEAR,SHANTIGEAREQN,512.9,559.4,512.9,551.0,507.35,43.65,8.6,12258426150.87,644.4,344.15,418038,228073172.04000002,22-Mar-2024 15:59:39,14.494103041589073,-60.10460554990558,50.28,23-Mar-2023,https://nsearchives.nseindia.com/365d/SHANTIGEAR-EQ.svg,21-Feb-2024,5.64,https://nsearchives.nseindia.com/30d/SHANTIGEAR-EQ.svg,https://nsearchives.nseindia.com/today/SHANTIGEAREQN.svg,,,0,22-Mar-2024 16:00:00
LXCHEM,LXCHEMEQN,227.9,249.9,227.7,245.0,227.7,17.3,7.6,18242898927.75,320.95,220.5,14835979,3638820569.33,22-Mar-2024 15:59:48,23.66412213740458,-11.11111111111111,-1.52,23-Mar-2023,https://nsearchives.nseindia.com/365d/LXCHEM-EQ.svg,21-Feb-2024,-7.52,https://nsearchives.nseindia.com/30d/LXCHEM-EQ.svg,https://nsearchives.nseindia.com/today/LXCHEMEQN.svg,,,0,22-Mar-2024 16:00:00
TECHNOE,TECHNOEEQN,654.9,710.65,652.9,706.0,657.55,48.45,7.37,28872030417.32,860.0,312.5,411704,283861673.92,22-Mar-2024 15:57:54,17.906976744186046,-125.92,115.1,23-Mar-2023,https://nsearchives.nseindia.com/365d/TECHNOE-EQ.svg,21-Feb-2024,-9.04,https://nsearchives.nseindia.com/30d/TECHNOE-EQ.svg,https://nsearchives.nseindia.com/today/TECHNOEEQN.svg,,,0,22-Mar-2024 16:00:00
VSTTILLERS,VSTTILLERSEQN,3167.05,3398.8,3152.55,3385.0,3156.15,228.85,7.25,12867713003.2,4196.0,2175.0,16512,54800355.84,22-Mar-2024 15:58:01,19.32793136320305,-55.632183908045974,45.74,23-Mar-2023,https://nsearchives.nseindia.com/365d/VSTTILLERS-EQ.svg,21-Feb-2024,3.56,https://nsearchives.nseindia.com/30d/VSTTILLERS-EQ.svg,https://nsearchives.nseindia.com/today/VSTTILLERSEQN.svg,,,0,22-Mar-2024 16:00:00
HATHWAY,HATHWAYEQN,19.55,20.8,19.5,20.8,19.4,1.4,7.22,9204543400.0,27.95,12.25,10005977,201620436.54999998,22-Mar-2024 15:59:56,25.581395348837205,-69.79591836734694,49.08,23-Mar-2023,https://nsearchives.nseindia.com/365d/HATHWAY-EQ.svg,21-Feb-2024,-15.56,https://nsearchives.nseindia.com/30d/HATHWAY-EQ.svg,https://nsearchives.nseindia.com/today/HATHWAYEQN.svg,,,0,22-Mar-2024 16:00:00
FIEMIND,FIEMINDEQN,1035.0,1114.0,1027.9,1109.0,1035.2,73.8,7.13,9632205970.2,1299.0,708.13,108598,117285840.0,22-Mar-2024 15:57:21,14.626635873749038,-56.60966206769943,-30.04,23-Mar-2023,https://nsearchives.nseindia.com/365d/FIEMIND-EQ.svg,21-Feb-2024,-55.26,https://nsearchives.nseindia.com/30d/FIEMIND-EQ.svg,https://nsearchives.nseindia.com/today/FIEMINDEQN.svg,,,0,22-Mar-2024 16:00:00
HINDWAREAP,HINDWAREAPEQN,365.05,395.0,363.1,389.35,363.75,25.6,7.04,13511328668.76,664.1,315.0,333237,128756112.06,22-Mar-2024 15:57:55,41.37178135822918,-23.603174603174608,17.57,23-Mar-2023,https://nsearchives.nseindia.com/365d/HINDWAREAP-EQ.svg,21-Feb-2024,-8.54,https://nsearchives.nseindia.com/30d/HINDWAREAP-EQ.svg,https://nsearchives.nseindia.com/today/HINDWAREAPEQN.svg,,,0,22-Mar-2024 16:00:00
SWANENERGY,SWANENERGYEQN,624.4,669.0,622.85,664.4,621.9,42.5,6.83,56230403865.77,782.25,192.65,3253949,2112366072.33,22-Mar-2024 15:59:58,15.065516139341645,-244.87412405917468,207.89,23-Mar-2023,https://nsearchives.nseindia.com/365d/SWANENERGY-EQ.svg,21-Feb-2024,-6.41,https://nsearchives.nseindia.com/30d/SWANENERGY-EQ.svg,https://nsearchives.nseindia.com/today/SWANENERGYEQN.svg,,,0,22-Mar-2024 16:00:00
