symbol,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,ffmc,yearHigh,yearLow,totalTradedVolume,totalTradedValue,lastUpdateTime,nearWKH,nearWKL,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,chartTodayPath,series,meta,priority,timestamp
NIFTY TOTAL MARKET,NIFTY TOTAL MARKET,11663.8,11673.15,11541.65,11619.6,11579.3,40.30000000000109,0.35,1718874613.31,11607.5,6252.1,2992091221,799878887415.67,04-Apr-2024 14:06:48,-0.10424294637088403,-85.85115401225188,42.42,03-Apr-2023,https://nsearchives.nseindia.com/365d/NIFTY-TOTAL-MKT.svg,04-Mar-2024,0.8,https://nsearchives.nseindia.com/30d/NIFTY-TOTAL-MKT.svg,https://nsearchives.nseindia.com/today/NIFTY-TOTAL-MKT.svg,,,1,04-Apr-2024 14:06:48
ELGIEQUIP,ELGIEQUIPEQN,597.85,664.0,592.1,659.35,589.0,70.35,11.94,141830094838.67,714.2,428.5,3564818,2302337705.3,04-Apr-2024 14:07:16,7.679921590590873,-53.873978996499424,35.82,03-Apr-2023,https://nsearchives.nseindia.com/365d/ELGIEQUIP-EQ.svg,04-Mar-2024,-13.55,https://nsearchives.nseindia.com/30d/ELGIEQUIP-EQ.svg,https://nsearchives.nseindia.com/today/ELGIEQUIPEQN.svg,,,0,04-Apr-2024 14:06:48
ALKYLAMINE,ALKYLAMINEEQN,1980.0,2184.7,1961.35,2155.4,1948.15,207.25,10.64,29747744236.08,2797.7,1808.0,1022949,2187494600.58,04-Apr-2024 14:07:17,22.958144189870243,-19.214601769911507,-12.11,03-Apr-2023,https://nsearchives.nseindia.com/365d/ALKYLAMINE-EQ.svg,04-Mar-2024,-8.29,https://nsearchives.nseindia.com/30d/ALKYLAMINE-EQ.svg,https://nsearchives.nseindia.com/today/ALKYLAMINEEQN.svg,,,0,04-Apr-2024 14:06:48
KEC,KECEQN,768.0,838.85,755.55,800.8,728.7,72.1,9.89,96653143966.61,838.85,444.0,13961316,11342033505.24,04-Apr-2024 14:07:17,4.535971866245463,-80.36036036036035,61.97,03-Apr-2023,https://nsearchives.nseindia.com/365d/KEC-EQ.svg,04-Mar-2024,-0.19,https://nsearchives.nseindia.com/30d/KEC-EQ.svg,https://nsearchives.nseindia.com/today/KECEQN.svg,,,0,04-Apr-2024 14:06:48
JUBLPHARMA,JUBLPHARMAEQN,585.0,646.95,580.45,634.55,579.4,55.15,9.52,47466336905.99,646.95,287.3,3141011,1979559362.53,04-Apr-2024 14:07:13,1.9166859880980123,-120.86668987121473,99.07,03-Apr-2023,https://nsearchives.nseindia.com/365d/JUBLPHARMA-EQ.svg,04-Mar-2024,1.82,https://nsearchives.nseindia.com/30d/JUBLPHARMA-EQ.svg,https://nsearchives.nseindia.com/today/JUBLPHARMAEQN.svg,,,0,04-Apr-2024 14:06:48
ASTERDM,ASTERDMEQN,424.0,467.4,422.65,452.4,417.9,34.5,8.26,52038521321.21,495.9,237.05,4710086,2078749355.2399998,04-Apr-2024 14:07:17,8.771929824561404,-90.84581311959501,72.51,03-Apr-2023,https://nsearchives.nseindia.com/365d/ASTERDM-EQ.svg,04-Mar-2024,-9.46,https://nsearchives.nseindia.com/30d/ASTERDM-EQ.svg,https://nsearchives.nseindia.com/today/ASTERDMEQN.svg,,,0,04-Apr-2024 14:06:48
BALAMINES,BALAMINESEQN,2151.85,2317.05,2135.55,2290.55,2123.6,166.95,7.86,24459239491.5,2735.0,1880.0,445280,1011783027.1999999,04-Apr-2024 14:07:15,16.250457038391218,-21.837765957446816,1.41,03-Apr-2023,https://nsearchives.nseindia.com/365d/BALAMINES-EQ.svg,04-Mar-2024,-3.31,https://nsearchives.nseindia.com/30d/BALAMINES-EQ.svg,https://nsearchives.nseindia.com/today/BALAMINESEQN.svg,,,0,04-Apr-2024 14:06:48
GAEL,GAELEQN,171.05,187.1,171.05,181.15,168.6,12.55,7.44,24926457017.7,210.6,116.13,7412970,1356425250.6,04-Apr-2024 14:07:18,13.983855650522313,-55.988977869628876,-28.03,03-Apr-2023,https://nsearchives.nseindia.com/365d/GAEL-EQ.svg,04-Mar-2024,-58.33,https://nsearchives.nseindia.com/30d/GAEL-EQ.svg,https://nsearchives.nseindia.com/today/GAELEQN.svg,,,0,04-Apr-2024 14:06:48
CONFIPET,CONFIPETEQN,93.6,102.0,93.6,100.15,93.35,6.8,7.28,9765253880.38,120.0,57.5,9590981,956604444.9399999,04-Apr-2024 14:07:17,16.541666666666664,-74.17391304347828,47.36,03-Apr-2023,https://nsearchives.nseindia.com/365d/CONFIPET-EQ.svg,04-Mar-2024,-14.71,https://nsearchives.nseindia.com/30d/CONFIPET-EQ.svg,https://nsearchives.nseindia.com/today/CONFIPETEQN.svg,,,0,04-Apr-2024 14:06:48
UJJIVANSFB,UJJIVANSFBEQN,52.0,54.7,52.0,54.4,51.1,3.3,6.46,27628356007.98,63.0,25.95,33280844,1791175024.08,04-Apr-2024 14:07:17,13.650793650793652,-109.63391136801542,93.93,03-Apr-2023,https://nsearchives.nseindia.com/365d/UJJIVANSFB-EQ.svg,04-Mar-2024,-2.67,https://nsearchives.nseindia.com/30d/UJJIVANSFB-EQ.svg,https://nsearchives.nseindia.com/today/UJJIVANSFBEQN.svg,,,0,04-Apr-2024 14:06:48
